Order_ID,Order_Date,Ship_Date,Year,Month,Quarter,Region,State,Category,Product,Customer_ID,Customer_Name,Customer_Segment,Sales_Rep,Quantity,Unit_Price,Discount_Pct,Discount_Amount,Gross_Sales,Net_Sales,Unit_Cost,Total_Cost,Profit,Profit_Margin_Pct,Ship_Mode,Payment_Method,Order_Status,Returned
ORD-10001,2024-04-02,2024-04-04,2024,April,Q2,East,New York,Office Supplies,Stapler,CUST-1001,Bilal Khan,Consumer,A. Khan,12,269.7,0.0,0.0,3236.4,3236.4,169.14,2029.68,1206.72,37.29,Express,Cash,Delivered,No
ORD-10002,2024-07-23,2024-07-30,2024,July,Q3,South,Texas,Appliances,Air Purifier,CUST-1002,Emma Butt,Corporate,M. Ali,14,31.15,0.0,0.0,436.1,436.1,20.54,287.56,148.54,34.06,Standard,Bank Transfer,Delivered,No
ORD-10003,2023-03-30,2023-04-05,2023,March,Q1,East,New Jersey,Office Supplies,Notebook,CUST-1003,Omar Davis,Corporate,R. Ahmed,8,1347.53,0.2,2156.05,10780.24,8624.19,638.24,5105.92,3518.27,40.8,Standard,Credit Card,Cancelled,No
ORD-10004,2023-07-26,2023-07-30,2023,July,Q3,West,Washington,Electronics,Smartphone,CUST-1004,Liam Shaikh,Home Office,M. Ali,5,1141.72,0.15,856.29,5708.6,4852.31,569.49,2847.45,2004.86,41.32,Express,Cash,Shipped,No
ORD-10005,2024-07-06,2024-07-12,2024,July,Q3,West,California,Appliances,Microwave,CUST-1005,Bilal Shaikh,Corporate,T. Brown,12,1399.02,0.15,2518.24,16788.24,14270.0,983.31,11799.72,2470.28,17.31,Same Day,Credit Card,Processing,No
ORD-10006,2025-10-19,2025-10-23,2025,October,Q4,West,Oregon,Office Supplies,Stapler,CUST-1006,Hina Shaikh,Home Office,J. Chen,15,2287.65,0.25,8578.69,34314.75,25736.06,1127.49,16912.35,8823.71,34.29,Economy,Cash,Shipped,No
ORD-10007,2025-11-09,2025-11-13,2025,November,Q4,South,Florida,Furniture,Standing Desk,CUST-1007,Zain Smith,Corporate,T. Brown,2,1893.12,0.0,0.0,3786.24,3786.24,938.71,1877.42,1908.82,50.41,Economy,Cash,Delivered,No
ORD-10008,2024-06-30,2024-07-07,2024,June,Q2,North,Michigan,Electronics,Laptop,CUST-1008,Ava Khan,Home Office,J. Chen,11,860.34,0.1,946.37,9463.74,8517.37,499.37,5493.07,3024.3,35.51,Express,Cash,Returned,Yes
ORD-10009,2023-11-10,2023-11-13,2023,November,Q4,East,Massachusetts,Office Supplies,Stapler,CUST-1009,William Khan,Corporate,J. Chen,13,416.45,0.0,0.0,5413.85,5413.85,262.23,3408.99,2004.86,37.03,Express,Credit Card,Delivered,No
ORD-10010,2025-09-22,2025-09-29,2025,September,Q3,West,Oregon,Electronics,Laptop,CUST-1010,William Brown,Home Office,T. Brown,2,2445.29,0.0,0.0,4890.58,4890.58,1194.57,2389.14,2501.44,51.15,Express,Cash,Delivered,No
ORD-10011,2025-02-03,2025-02-07,2025,February,Q1,West,Oregon,Office Supplies,Pen Set,CUST-1011,Sara Chaudhry,Home Office,R. Ahmed,15,1301.18,0.0,0.0,19517.7,19517.7,682.3,10234.5,9283.2,47.56,Express,Credit Card,Delivered,No
ORD-10012,2023-05-19,2023-05-20,2023,May,Q2,East,Massachusetts,Electronics,Smartphone,CUST-1012,William Shaikh,Home Office,N. Patel,14,836.11,0.05,585.28,11705.54,11120.26,446.1,6245.4,4874.86,43.84,Express,Bank Transfer,Delivered,No
ORD-10013,2025-06-01,2025-06-04,2025,June,Q2,South,Texas,Electronics,Laptop,CUST-1013,Usman Khan,Corporate,M. Ali,7,1036.59,0.0,0.0,7256.13,7256.13,675.87,4731.09,2525.04,34.8,Express,Debit Card,Delivered,No
